Poll,Month,Year,Dates,SampSize,SampType,Dem,Rep
NBC News/Wall St. Jrnl,November,2018,11/1 - 11/3,774,LV,50,43
CNN,November,2018,11/1 - 11/3,1151,LV,55,42
ABC News/Wash Post,October,2018,10/29 - 11/1,737,LV,52,44
Rasmussen Reports,October,2018,10/28 - 11/1,2500,LV,45,46
IBD/TIPP,October,2018,10/25 - 11/3,798,LV,50,41
Economist/YouGov,October,2018,10/28 - 10/30,1296,RV,47,42
NPR/PBS/Marist,October,2018,10/28 - 10/29,509,LV,52,43
Harvard-Harris,October,2018,10/26 - 10/28,1835,RV,47,38
Reuters/Ipsos,October,2018,10/24 - 10/30,1383,LV,49,42
Rasmussen Reports,October,2018,10/21 - 10/25,2500,LV,47,44
Economist/YouGov,October,2018,10/21 - 10/23,1233,RV,47,41
NPR/PBS/Marist,October,2018,10/21 - 10/23,738,RV,50,40
Reuters/Ipsos,October,2018,10/17 - 10/23,2062,LV,49,42
USA Today/Suffolk,October,2018,10/18 - 10/22,1000,LV,51,43
Rasmussen Reports,October,2018,10/14 - 10/18,2500,LV,47,44
NBC News/Wall St. Jrnl,October,2018,10/14 - 10/17,645,LV,50,41
Economist/YouGov,October,2018,10/14 - 10/16,1273,RV,46,41
FOX News,October,2018,10/13 - 10/16,841,LV,49,42
Reuters/Ipsos,October,2018,10/10 - 10/16,1194,LV,51,40
ABC News/Wash Post,October,2018,10/8 - 10/11,991,RV,53,42
Rasmussen Reports,October,2018,10/7 - 10/11,2500,LV,45,44
Economist/YouGov,October,2018,10/7 - 10/9,1162,RV,47,41
Reuters/Ipsos,October,2018,10/3 - 10/9,2012,LV,50,38
CNBC,October,2018,10/4 - 10/7,800,A,42,36
CNN,October,2018,10/4 - 10/7,739,LV,54,41
Emerson,October,2018,10/1 - 10/4,1000,RV,50,42
Rasmussen Reports,October,2018,9/30 - 10/4,2500,LV,45,45
Economist/YouGov,October,2018,9/30 - 10/2,1227,RV,45,40
NPR/PBS/Marist,October,2018,10/1 - 10/1,996,RV,48,42
IBD/TIPP,September,2018,9/27 - 10/3,846,RV,45,43
Reuters/Ipsos,September,2018,9/26 - 10/2,1840,LV,50,38
Harvard-Harris,September,2018,9/29 - 9/30,1330,RV,45,37
Quinnipiac,September,2018,9/27 - 9/30,1111,RV,49,42
Rasmussen Reports,September,2018,9/23 - 9/27,2500,LV,47,42
Harvard-Harris,September,2018,9/26 - 9/27,1228,RV,45,36
Economist/YouGov,September,2018,9/23 - 9/25,1238,RV,46,38
NPR/PBS/Marist,September,2018,9/22 - 9/24,802,RV,48,41
Reuters/Ipsos,September,2018,9/19 - 9/25,1425,LV,48,41
Pew Research,September,2018,9/18 - 9/24,1439,RV,52,42
Gallup,September,2018,9/17 - 9/23,1308,RV,51,42
Rasmussen Reports,September,2018,9/16 - 9/20,2500,LV,46,43
FOX News,September,2018,9/16 - 9/19,818,LV,49,42
NBC News/Wall St. Jrnl,September,2018,9/16 - 9/19,594,LV,51,43
Economist/YouGov,September,2018,9/16 - 9/18,1195,RV,45,41
Reuters/Ipsos,September,2018,9/12 - 9/18,1304,LV,48,41
Rasmussen Reports,September,2018,9/9 - 9/13,2500,LV,47,42
Economist/YouGov,September,2018,9/9 - 9/11,1220,RV,44,41
Reuters/Ipsos,September,2018,9/5 - 9/11,1226,LV,49,41
Quinnipiac,September,2018,9/6 - 9/9,1038,RV,52,38
CNN,September,2018,9/6 - 9/9,775,LV,52,42
NPR/Marist,September,2018,9/5 - 9/9,777,RV,50,38
Rasmussen Reports,September,2018,9/2 - 9/6,2500,LV,46,42
Economist/YouGov,September,2018,9/2 - 9/4,1254,RV,45,40
Reuters/Ipsos,September,2018,8/29 - 9/4,2012,RV,44,35
Grinnell/Selzer,September,2018,8/29 - 9/2,779,LV,45,43
Emerson,August,2018,8/29 - 8/31,1000,RV,52,39
Rasmussen Reports,August,2018,8/26 - 8/30,2500,LV,46,42
