forecastdate,state,district,special,candidate,party,incumbent,model,win_probability,voteshare,p10_voteshare,p90_voteshare
2018-10-11,AK,"",,Mike Dunleavy,R,false,classic,0.7413,39.55,32.1,46.93
2018-10-11,AK,"",,Mark Begich,D,false,classic,0.2211,31.28,22.43,40.15
2018-10-11,AK,"",,Bill Walker,U,true,classic,0.0376,25.74,19.22,32.54
2018-10-11,AK,"",,Others,,false,classic,0.0,3.42,1.12,6.26
2018-10-11,AL,"",,Kay Ivey,R,true,classic,0.9866,58.59,53.95,63.21
2018-10-11,AL,"",,Walt Maddox,D,false,classic,0.0134,41.41,36.79,46.05
2018-10-11,AR,"",,Asa Hutchinson,R,true,classic,0.999,63.98,58.59,69.42
2018-10-11,AR,"",,Jared Henderson,D,false,classic,0.001,33.56,28.1,38.93
2018-10-11,AR,"",,Mark West,L,false,classic,0.0,2.46,0.7,4.67
2018-10-11,AZ,"",,Doug Ducey,R,true,classic,0.9549,55.01,50.44,59.57
2018-10-11,AZ,"",,David Garcia,D,false,classic,0.0451,42.9,38.29,47.44
2018-10-11,AZ,"",,Angel Torres,G,false,classic,0.0,2.09,0.56,4.07
2018-10-11,CA,"",,Gavin Newsom,D,false,classic,0.9794,58.78,53.59,64.07
2018-10-11,CA,"",,John Cox,R,false,classic,0.0206,41.22,35.93,46.41
2018-10-11,CO,"",,Jared Polis,D,false,classic,0.9073,53.77,48.64,58.78
2018-10-11,CO,"",,Walker Stapleton,R,false,classic,0.0927,43.55,38.48,48.59
2018-10-11,CO,"",,Others,,false,classic,0.0,2.68,0.8,5.05
2018-10-11,CT,"",,Ned Lamont,D,false,classic,0.852,52.41,47.72,57.03
2018-10-11,CT,"",,Bob Stefanowski,R,false,classic,0.1479,45.11,40.45,49.77
2018-10-11,CT,"",,Others,,false,classic,0.0,2.48,0.7,4.71
2018-10-11,FL,"",,Andrew Gillum,D,false,classic,0.7044,50.44,46.13,54.68
2018-10-11,FL,"",,Ron DeSantis,R,false,classic,0.2956,46.99,42.69,51.27
2018-10-11,FL,"",,Others,,false,classic,0.0,2.58,0.75,4.89
2018-10-11,GA,"",,Brian Kemp,R,false,classic,0.5665,49.71,45.77,53.63
2018-10-11,GA,"",,Stacey Abrams,D,false,classic,0.4335,49.03,45.09,52.97
2018-10-11,GA,"",,Ted Metz,L,false,classic,0.0,1.26,0.27,2.56
2018-10-11,HI,"",,David Ige,D,true,classic,0.9988,64.35,58.39,70.25
2018-10-11,HI,"",,Andria Tupola,R,false,classic,0.0012,33.13,27.19,39.03
2018-10-11,HI,"",,Others,,false,classic,0.0,2.52,0.73,4.76
2018-10-11,IA,"",,Fred Hubbell,D,false,classic,0.8337,52.29,46.93,57.68
2018-10-11,IA,"",,Kim Reynolds,R,true,classic,0.1663,44.56,39.16,49.93
2018-10-11,IA,"",,Others,,false,classic,0.0,3.15,1.01,5.83
2018-10-11,ID,"",,Brad Little,R,false,classic,0.9531,54.31,48.2,60.27
2018-10-11,ID,"",,Paulette Jordan,D,false,classic,0.0469,39.16,33.13,45.21
2018-10-11,ID,"",,Others,,false,classic,0.0,6.53,2.83,10.83
2018-10-11,IL,"",,JB Pritzker,D,false,classic,0.903,53.71,47.24,60.15
2018-10-11,IL,"",,Bruce Rauner,R,true,classic,0.097,41.22,34.71,47.64
2018-10-11,IL,"",,Others,,false,classic,0.0,5.07,1.98,8.73
2018-10-11,KS,"",,Kris Kobach,R,false,classic,0.6353,45.43,39.72,51.03
2018-10-11,KS,"",,Laura Kelly,D,false,classic,0.3641,42.81,37.04,48.41
2018-10-11,KS,"",,Greg Orman,I,false,classic,0.0005,9.89,5.15,15.25
2018-10-11,KS,"",,Others,,false,classic,0.0,1.86,0.47,3.64
2018-10-11,MA,"",,Charlie Baker,R,true,classic,0.9975,64.77,58.85,70.71
2018-10-11,MA,"",,Jay Gonzalez,D,false,classic,0.0025,35.23,29.29,41.15
2018-10-11,MD,"",,Larry Hogan,R,true,classic,0.9918,57.4,52.75,62.0
2018-10-11,MD,"",,Ben Jealous,D,false,classic,0.0082,39.61,34.94,44.2
2018-10-11,MD,"",,Others,,false,classic,0.0,2.99,0.93,5.55
2018-10-11,ME,"",,Janet Mills,D,false,classic,0.8574,53.6,47.26,59.91
2018-10-11,ME,"",,Shawn Moody,R,false,classic,0.1426,43.43,37.1,49.73
2018-10-11,ME,"",,Others,,false,classic,0.0,2.97,0.92,5.54
2018-10-11,MI,"",,Gretchen Whitmer,D,false,classic,0.9486,54.15,49.54,58.74
2018-10-11,MI,"",,Bill Schuette,R,false,classic,0.0514,42.75,38.11,47.33
2018-10-11,MI,"",,Others,,false,classic,0.0,3.11,0.98,5.76
2018-10-11,MN,"",,Tim Walz,D,false,classic,0.9534,54.93,50.16,59.73
2018-10-11,MN,"",,Jeff Johnson,R,false,classic,0.0466,42.56,37.7,47.31
2018-10-11,MN,"",,Others,,false,classic,0.0,2.51,0.73,4.74
2018-10-11,NE,"",,Pete Ricketts,R,true,classic,0.9908,61.34,55.69,66.93
2018-10-11,NE,"",,Bob Krist,D,false,classic,0.0092,38.66,33.07,44.31
2018-10-11,NH,"",,Chris Sununu,R,true,classic,0.9781,57.25,51.98,62.42
2018-10-11,NH,"",,Molly Kelly,D,false,classic,0.0219,40.47,35.26,45.73
2018-10-11,NH,"",,Jilletta Jarvis,L,false,classic,0.0,2.28,0.63,4.37
2018-10-11,NM,"",,Michelle Lujan Grisham,D,false,classic,0.8559,53.59,49.23,58.0
